ThomasG_MZ,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:56:31 +0000 2018
MZeno_Martin,RT @darrenwalker: Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoug…,Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoughts and prayers are with the Annan Family and with our friends at the @UN. https://t.co/Ry6CHlxELl,Sat Aug 18 21:56:20 +0000 2018
LilamMandal,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 21:56:15 +0000 2018
mathib19,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:56:12 +0000 2018
RahulNarayananT,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:56:11 +0000 2018
liserg14,"@mcspocky @HugsEtc @garthworld This lad is a disgrace!
Thoughts and prayers for your brave wife 💕🙏🏿",,Sat Aug 18 21:56:10 +0000 2018
Vishnu98215828,RT @Eoin16: My thoughts as prayers are with everyone in Kerala effected by the horrific floods,My thoughts as prayers are with everyone in Kerala effected by the horrific floods,Sat Aug 18 21:56:10 +0000 2018
RadiNabulsi,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:56:07 +0000 2018
HopeStSouth,@AP Seems like the mountain lion stood his ground. Thoughts and prayers for the hunter.,,Sat Aug 18 21:56:04 +0000 2018
smkrgd1994,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:55:48 +0000 2018
TMiller1967,@NatbyNature That is a special to cherish forever.   You're still in my thoughts and prayers.,,Sat Aug 18 21:55:37 +0000 2018
GaDawgs_1785,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:55:30 +0000 2018
jtrubin,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:55:29 +0000 2018
Reid671Reid,@lisabdwy Our thoughts and prayers go out to his family,,Sat Aug 18 21:55:24 +0000 2018
sundarasathiyan,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:55:05 +0000 2018
DrLiebknicht,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:54:56 +0000 2018
bonitalea,"RT @middleageriot: Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the lad…","Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the ladders, sell the bulbs, blame Democrats for the dark, and send thoughts and prayers to anyone who trips.

#NationalTellAJokeDay",Sat Aug 18 21:54:47 +0000 2018
ThesammsSam,"@digitalcatholic Thank You Father, for your prayers,  your thoughts and your guidance.",,Sat Aug 18 21:54:45 +0000 2018
emeraldfamily1,Smokey Saturday out in willow creek. Keeping everyone effected by all the fires in our thoughts and prayers 💚 #emeraldfamilyfarms #eff #cannabis #cannabiscommunity #willowcreek #growmagazine #dopemagazine #skunkmagazine #humboldt #california #califor… https://t.co/LV2hUsRjDJ https://t.co/8AO0XU4J62,,Sat Aug 18 21:54:40 +0000 2018
kwood1504,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:54:34 +0000 2018
maheshreddygali,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 21:54:27 +0000 2018
Vishnu98215828,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:54:26 +0000 2018
atl20175,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:54:21 +0000 2018
Maniyan_,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:54:20 +0000 2018
Vishnu98215828,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 21:54:17 +0000 2018
naimaaaa_,RT @VanessaDamilano: @naimaaaa_ So much love to you beautiful girl!!! The world needs you and it gets better prayers and thoughts to you!!,@naimaaaa_ So much love to you beautiful girl!!! The world needs you and it gets better prayers and thoughts to you!!,Sat Aug 18 21:53:54 +0000 2018
PrincesPLabour,RT @CllrAnnaRothery: Kofi Annan a quiet manner coupled with the heart of a lion thoughts and prayers go to his family a very sad day @Princ…,Kofi Annan a quiet manner coupled with the heart of a lion thoughts and prayers go to his family a very sad day @PrincesPLabour  @ShequalityMatte,Sat Aug 18 21:53:53 +0000 2018
PrincesPLabour,RT @CllrAnnaRothery: Thoughts and prayers with our brothers &amp; sisters so very sad a ⁦@PrincesPLabour⁩ ⁦⁦@ShequalityMatte⁩  https://t.co/JId…,Thoughts and prayers with our brothers &amp; sisters so very sad a ⁦@PrincesPLabour⁩ ⁦⁦@ShequalityMatte⁩  https://t.co/JIdHut8PSc,Sat Aug 18 21:53:49 +0000 2018
d1ckt8r,RT @tonyposnanski: @AP Thoughts and prayers,@AP Thoughts and prayers,Sat Aug 18 21:53:34 +0000 2018
lead_senator,"RT @Moline_Football: Our thoughts and prayers go out to everyone in Chris Bunch’s family. While he was a Moline Football player, more impor…","Our thoughts and prayers go out to everyone in Chris Bunch’s family. While he was a Moline Football player, more importantly he was a son, brother and cousin to many who love him. You are all in our hearts tonight.",Sat Aug 18 21:53:30 +0000 2018
RPoulnott,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:53:26 +0000 2018
hrih51,@toadmeister Thoughts and prayers,,Sat Aug 18 21:53:19 +0000 2018
ThomasHogg88,"RT @EdwardLeighMP: I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the d…","I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the decades. He will be missed. My thoughts and prayers are with his family and loved ones. https://t.co/d2VqzHSyhz",Sat Aug 18 21:53:11 +0000 2018
SmallwoodTrent,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 21:53:07 +0000 2018
BPS_K9,RT @HRPMountedUnit: Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Sat Aug 18 21:52:59 +0000 2018
Baristajohnny,@thehill The poor li'l thing. He must have fooled her with all his fake class and charms. She never saw it coming. Thoughts and prayers!,,Sat Aug 18 21:52:55 +0000 2018
osi3s,RT @Irisheyes_1916: Condolences to Jonathan Davis. And his two sons...You are in the thoughts and prayers of your fans tonight.,Condolences to Jonathan Davis. And his two sons...You are in the thoughts and prayers of your fans tonight.,Sat Aug 18 21:52:31 +0000 2018
RSD6_Supt,The thoughts and prayers of all of RSD6 are with the Irwin family. A great educator who will be missed. https://t.co/0KyMUiNStg,,Sat Aug 18 21:52:28 +0000 2018
jkravitz,RT @darrenwalker: Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoug…,Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoughts and prayers are with the Annan Family and with our friends at the @UN. https://t.co/Ry6CHlxELl,Sat Aug 18 21:52:22 +0000 2018
nikhilart,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:52:13 +0000 2018
mollie_Apso1,RT @DoglostUK: 💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our…,"💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our thoughts and prayers are with Chris's family

🐾 Molly, Chris's #Dog is still #Missing! Hopefully we can find her and get her back with her family asap https://t.co/7ZmHw05AuO",Sat Aug 18 21:52:06 +0000 2018
codeiswell,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:52:02 +0000 2018
AndImfat,RT @HouseShenanigan: How is the FL GOP so consistently awful? They actually believe “thoughts and prayers” will stop gun massacres at schoo…,How is the FL GOP so consistently awful? They actually believe “thoughts and prayers” will stop gun massacres at schools and made a law to display it in all buildings. 🙄 https://t.co/sCjySM3rcH,Sat Aug 18 21:51:59 +0000 2018
maddymadan52,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:51:57 +0000 2018
Scots_Football,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,,Sat Aug 18 21:51:53 +0000 2018
FearLeslieMe,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:51:33 +0000 2018
andrewcongdon,"@scottgairdner @JasonSheridan I’m so sorry Scott, my thoughts &amp; prayers are with you.",,Sat Aug 18 21:51:32 +0000 2018
JimkblakeJames,RT @cheri4trump: @realDonaldTrump   #REDFriday    🇺🇸Please Remember Everyone Deployed🇺🇸Many Many Thoughts &amp; Prayers To Each Hero🙏🏼May God B…,@realDonaldTrump   #REDFriday    🇺🇸Please Remember Everyone Deployed🇺🇸Many Many Thoughts &amp; Prayers To Each Hero🙏🏼May God Bless Each &amp; Everyone Of You &amp; Please Watch Over Them &amp; Protect Them As They Continue To Fight For All AMERICANS &amp; For AMERICA🇺🇸♥️⚪️💙🇺🇸🙏🏼🇺🇸 https://t.co/njolzsRkXd,Sat Aug 18 21:51:28 +0000 2018
JoelSchad,"@TomVassallo Tom. Sarah and my thoughts and prayers are with you in this trying time. A prayer candle has been lit, but only one because I was short on quarters.",,Sat Aug 18 21:51:21 +0000 2018
SudhirSudhakar,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:51:20 +0000 2018
gws1147,RT @BarstoolISU: Thoughts and prayers to all the freshmen who were not granted permission from their DIS leader to skip today’s session htt…,Thoughts and prayers to all the freshmen who were not granted permission from their DIS leader to skip today’s session https://t.co/J99KOzx3ds,Sat Aug 18 21:51:13 +0000 2018
akinbodeog,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 21:50:30 +0000 2018
playboyblonde,@TheLucasStarr @YouTube Keeping your grandma in my thoughts and prayers and sending Positive Vibes and good Juju her way 🙏 🤗,,Sat Aug 18 21:50:24 +0000 2018
bookkaz,@RuthBraham @TomKindlon So sorry for your loss. Thoughts and prayers to all who knew her 💙,,Sat Aug 18 21:50:07 +0000 2018
quezada_kevin,RT @ChicksInTheOff: Please keep Fran in your thoughts and prayers during this tough time. https://t.co/VYi8DmE75J,Please keep Fran in your thoughts and prayers during this tough time. https://t.co/VYi8DmE75J,Sat Aug 18 21:50:04 +0000 2018
AndThenBenSaid,"my best friend is watching a pregnancy video with his fiancée and im heading to a pig roast at a brewery, so please keep him in your thoughts and prayers as you go among your saturday evening. thank you all for your time",,Sat Aug 18 21:50:00 +0000 2018
FoziaShaheen3,@rskdance2011 😙😙😙 thoughts and prayers. X,,Sat Aug 18 21:49:45 +0000 2018
faizy_cfc,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:49:41 +0000 2018
CamillaHH1,RT @DoglostUK: 💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our…,"💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our thoughts and prayers are with Chris's family

🐾 Molly, Chris's #Dog is still #Missing! Hopefully we can find her and get her back with her family asap https://t.co/7ZmHw05AuO",Sat Aug 18 21:49:37 +0000 2018
ASandstromView,RT @linkmeister66: @cyclonespwhs @PuebloWestHS @ASandstromView @PWHSFootball @BrandiMenegatti @PwhsWrestling RIP Coach Boreson. You have in…,"@cyclonespwhs @PuebloWestHS @ASandstromView @PWHSFootball @BrandiMenegatti @PwhsWrestling RIP Coach Boreson. You have inspired us all with your tenacious fight with ALS. You were a great husband, father, coach, teacher, and friend. You will be greatly missed by your fantasy football brothers.  Thoughts and prayers to Kelli, Max, Sammy, Charlotte, and extended family.",Sat Aug 18 21:49:24 +0000 2018
rathesh_kumar,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:49:14 +0000 2018
pilarwish,@THR Thoughts and prayers.,,Sat Aug 18 21:49:13 +0000 2018
Self_Jade_Hero,@jacksfilms Thoughts and prayers to those lost souls who don't.,,Sat Aug 18 21:48:57 +0000 2018
BABAGOLLURU,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 21:48:49 +0000 2018
kattarsamazwad1,RT @yadavakhilesh: Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate o…,"Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate ourselves towards relief, recovery, and long term reconstruction assistance for the tens of thousands of displaced and impacted Keralites. #UPforKerala",Sat Aug 18 21:48:28 +0000 2018
DUdombon,RT @Baseball_ALX: Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with canc…,Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with cancer. We send our love and support to the Smith’s from the Alexander Baseball Family!!,Sat Aug 18 21:48:23 +0000 2018
VanbeckVance,RT @clevecarrier: @ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JM…,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",Sat Aug 18 21:48:14 +0000 2018
yogilindfield,RT @troygrant: I join @GladysB extending my deepest sympathies to the pilot’s family &amp; friends. My thoughts &amp; prayers are with all emergenc…,I join @GladysB extending my deepest sympathies to the pilot’s family &amp; friends. My thoughts &amp; prayers are with all emergency services working to contain all fires across NSW. @nswpolice &amp; aviation authorities will investigate the incident &amp; prepare a report to the Coroner. https://t.co/orwiZgqO2k,Sat Aug 18 21:48:01 +0000 2018
PintoPaul24,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:48:01 +0000 2018
Prasadkanaparth,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 21:48:00 +0000 2018
squancho,@UBielski Thoughts and prayers going out for your loss..May God watch over you and protect you in these difficult times,,Sat Aug 18 21:47:59 +0000 2018
VanessaDamilano,@naimaaaa_ So much love to you beautiful girl!!! The world needs you and it gets better prayers and thoughts to you!!,,Sat Aug 18 21:47:46 +0000 2018
vachilly64,RT @clevecarrier: @ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JM…,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",Sat Aug 18 21:47:36 +0000 2018
ABANDYF,RT @atiku: My thoughts and prayers are with families of all those affected by the tragedy of the collapsed building in Jabi area of Abuja.…,"My thoughts and prayers are with families of all those affected by the tragedy of the collapsed building in Jabi area of Abuja. May they be comforted. 

https://t.co/1YsiqypHlo",Sat Aug 18 21:47:31 +0000 2018
MarkCom1313,@AP Thoughts and prayers,,Sat Aug 18 21:47:30 +0000 2018
jabirmkjabir,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:47:00 +0000 2018
namo_namah23,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 21:47:00 +0000 2018
tonyposnanski,@AP Thoughts and prayers,,Sat Aug 18 21:46:57 +0000 2018
JeffMacFarlane2,"RT @middleageriot: Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the lad…","Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the ladders, sell the bulbs, blame Democrats for the dark, and send thoughts and prayers to anyone who trips.

#NationalTellAJokeDay",Sat Aug 18 21:46:41 +0000 2018
JudyWixted,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:46:40 +0000 2018
ShivamKumarSu13,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:46:26 +0000 2018
JeffPKramer,@tspofnutmeg @semirose Thoughts and prayers,,Sat Aug 18 21:46:15 +0000 2018
Thomasyardley,RT @TheDukeNGS: @MarkFishkin I will not argue with that point but this is no different than “thoughts and prayers”. It does nothing to help…,"@MarkFishkin I will not argue with that point but this is no different than “thoughts and prayers”. It does nothing to help fix the situation. 

Saying that “the situation sucks and I don’t agree with it” but then still giving your money to the entity doing it is hypocritical, no?",Sat Aug 18 21:46:11 +0000 2018
clevecarrier,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",,Sat Aug 18 21:45:50 +0000 2018
_sweetharmony__,"Have you ever just sat &amp; thought about how personal your bible is? Like you’re thoughts are in there, you’re prayers, your tears, promises, your relationship with Jesus!! It’s hard to share with someone, let alone give away.",,Sat Aug 18 21:45:39 +0000 2018
Nanayaaaaa,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 21:45:29 +0000 2018
sarahcharbx,@sahluwal Taylor must be associated with the Punch Drunk  Evangelical Christian Church. Let's see how all those thoughts and prayers work for him while serving time for assault in a Ugandan prison.,,Sat Aug 18 21:45:09 +0000 2018
SonsintheRoot,"RT @MarkSchweitzer: I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait,…","I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait, that doesn’t help.  Never mind.  As you were.  https://t.co/TlQRVx1F2D",Sat Aug 18 21:45:08 +0000 2018
ansarvatakara,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:44:59 +0000 2018
aadamahmed_,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 21:44:59 +0000 2018
JohnPatrickTroy,@PeterMooreLFC Heartbreaking RIP Ryan. My thoughts and  prayers to  Ryans family .,,Sat Aug 18 21:44:52 +0000 2018
cornell_vickie,@MilitaryEarth We Thank You for your service &amp; sacrifice to keep America free.  My thoughts  &amp; prayers  are with your family &amp; friends. Time can't erase your heroism or you from our hearts &amp; minds. R.I.P. Vickie Cornell@cornell-vickie,,Sat Aug 18 21:44:44 +0000 2018
bleicken_von,"RT @MarkSchweitzer: I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait,…","I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait, that doesn’t help.  Never mind.  As you were.  https://t.co/TlQRVx1F2D",Sat Aug 18 21:44:18 +0000 2018
Maryaclare,@pbpsports And yet tRump tweeted out immediately that the guy who drove into cyclists in London this week was a terrorist attacker. The Police and Terrorism Unit in the UK now say not so. Will tRump comment on this apart from thoughts and prayers?,,Sat Aug 18 21:44:16 +0000 2018
sr9f6,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 21:44:13 +0000 2018
KizzOkey,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 21:44:06 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #Pierz #Minnesota - #PrayForPierz,,Sat Aug 18 21:43:52 +0000 2018
theeventinghntr,@LtotheZee Love you much ❤️ my thoughts and prayers are with you and your entire family right now ❤️❤️,,Sat Aug 18 21:43:52 +0000 2018
dipak_payghan,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:43:33 +0000 2018
bickelhowell,RT @KurtSchlichter: And Mom's back in the hospital. Thoughts and prayers welcome.,And Mom's back in the hospital. Thoughts and prayers welcome.,Sat Aug 18 21:43:23 +0000 2018
LOOsaigbovo,It is sad the world has lost one of the forefront champions of peace and unity in our world. This planet will never forget you for all you have done. Rest in Peace Kofi Annan. My thoughts and prayers are with his family and friends.,,Sat Aug 18 21:43:12 +0000 2018
