bekindinstead,"RT @ThomasWictor: Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infa…","Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",Tue Aug 21 02:49:24 +0000 2018
michaelwinn7,"RT @ThomasWictor: Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infa…","Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",Tue Aug 21 02:47:33 +0000 2018
Dougerman3006,"RT @ThomasWictor: Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infa…","Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",Tue Aug 21 02:47:22 +0000 2018
hturtfor,"RT @ThomasWictor: Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infa…","Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",Tue Aug 21 02:47:03 +0000 2018
AmericanRose8,"RT @ThomasWictor: Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infa…","Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",Tue Aug 21 02:46:46 +0000 2018
ThomasWictor,"Mel Brooks (born Melvin Kaminsky): 1104th Engineer Combat Group.

In continuous combat from June 11, 1944. Fought as infantry, destroyed pillboxes, built bridges under fire.

Private Kaminsky was a DEMINER, one of the most dangerous jobs of the war.

""War is LOUD,"" he said. https://t.co/gWohi5j5oe",,Tue Aug 21 02:46:06 +0000 2018
SenLayton,RT @JapanHoppers: Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Ki…,"Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Kikkawa Yoshihiro of the Iwakuni Domain. The bridge was destroyed by a typhoon and flooding in 1950 but was rebuilt in 1953. 
https://t.co/GRU3f0qlWb https://t.co/1eagFLjHFP",Sun Aug 26 08:17:11 +0000 2018
maedehfadaei,RT @JapanHoppers: Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Ki…,"Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Kikkawa Yoshihiro of the Iwakuni Domain. The bridge was destroyed by a typhoon and flooding in 1950 but was rebuilt in 1953. 
https://t.co/GRU3f0qlWb https://t.co/1eagFLjHFP",Sun Aug 26 04:10:15 +0000 2018
akatsukiya_taka,RT @JapanHoppers: Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Ki…,"Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Kikkawa Yoshihiro of the Iwakuni Domain. The bridge was destroyed by a typhoon and flooding in 1950 but was rebuilt in 1953. 
https://t.co/GRU3f0qlWb https://t.co/1eagFLjHFP",Sun Aug 26 01:17:53 +0000 2018
JapanHoppers,"Kintai Bridge is a wooden bridge and one of three most famous bridges in Japan. The structure was completed in 1673 by Kikkawa Yoshihiro of the Iwakuni Domain. The bridge was destroyed by a typhoon and flooding in 1950 but was rebuilt in 1953. 
https://t.co/GRU3f0qlWb https://t.co/1eagFLjHFP",,Sun Aug 26 01:00:35 +0000 2018
Nm3richukwu,"RT @TheNationNews: Commissioner for Information, Mr Ahmad Sajoh, said the government could confirm that four persons had so far died as a r…","Commissioner for Information, Mr Ahmad Sajoh, said the government could confirm that four persons had so far died as a result of the flood. He said the flood had also destroyed many bridges and culverts, adding that nine LGAs had been hit by the flood.

https://t.co/BxWGQtMteq",Thu Aug 23 06:31:31 +0000 2018
sathishmd8,"RT @westwynnresorts: Kerala Needs Your Support.

2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges col…","Kerala Needs Your Support.

2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 186 lives lost | 211+ landslides | 20000+ houses damaged | 10000 km of roads destroyed  | 

#StandwithKerala #SupportKerala https://t.co/oXf04QlYTx",Thu Aug 23 06:07:24 +0000 2018
sathishmd8,RT @westwynnresorts: 2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 18…,"2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 186 lives lost | 211+ landslides | 20000+ houses damaged | 10000 km of roads destroyed | Preliminary estimates count a loss of ₹8316+ Crore
#StandwithKerala https://t.co/PajJIrjS7h",Thu Aug 23 06:07:18 +0000 2018
TheNationNews,"Commissioner for Information, Mr Ahmad Sajoh, said the government could confirm that four persons had so far died as a result of the flood. He said the flood had also destroyed many bridges and culverts, adding that nine LGAs had been hit by the flood.

https://t.co/BxWGQtMteq",,Thu Aug 23 05:58:24 +0000 2018
ShehuBello,"Commissioner for Information, Mr Ahmad Sajoh, said the government could confirm that four persons had so far died as a result of the flood. He said the flood had also destroyed many bridges and culverts, adding that nine LGAs had been hit by the flood.

https://t.co/v795oq3Xi6",,Thu Aug 23 05:58:18 +0000 2018
anoojasif,"@metalheadrodeo @monicavaneet @sardesairajdeep @ShashiTharoor @IndiaToday Yes,PM modi surveyed  and announced a package  but was nowhere near the actual damage figures.12/14 districts were affected ,he did not go to every district.He has not seen the post flood damage.Roads swept away bridges destroyed..they weren't visible ,all were submerged.",,Wed Aug 22 16:09:04 +0000 2018
satishduvuru,"STAND WITH KERALA.... JOIN THE HANDS WITH HELP
 Kerala is highly affected due to recent flood.Many lives were lost,homes were destroyed, roads&amp; bridges were damaged,

Now it is our duty to help the affected people to rebuild their lives. 

I contributed &amp; I am requesting you. https://t.co/D6GZxfjfIY",,Mon Aug 20 17:20:50 +0000 2018
westwynnresorts,"2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 186 lives lost | 211+ landslides | 20000+ houses damaged | 10000 km of roads destroyed | Preliminary estimates count a loss of ₹8316+ Crore
#StandwithKerala https://t.co/PajJIrjS7h",,Sat Aug 18 05:33:59 +0000 2018
daniceraj,"RT @BucksCoHerald: This weekend will mark the 63rd anniversary of the flood of 1955, which tore out bridges, destroyed buildings and killed…","This weekend will mark the 63rd anniversary of the flood of 1955, which tore out bridges, destroyed buildings and killed residents in the Delaware River’s path. https://t.co/FOWZUzt6Ch #BucksCounty #DelawareRiver #Flood #LocalHistory https://t.co/YrFeBGoLEc",Fri Aug 17 23:14:52 +0000 2018
BucksCoHerald,"This weekend will mark the 63rd anniversary of the flood of 1955, which tore out bridges, destroyed buildings and killed residents in the Delaware River’s path. https://t.co/FOWZUzt6Ch #BucksCounty #DelawareRiver #Flood #LocalHistory https://t.co/YrFeBGoLEc",,Fri Aug 17 23:00:35 +0000 2018
scshenoy,"RT @sudhakaranpTOI: At Ayyankunnu panchayat in Kannur, over one hundred houses have been fully or partially destroyed and also over 150 hec…","At Ayyankunnu panchayat in Kannur, over one hundred houses have been fully or partially destroyed and also over 150 hectares of land destroyed in landslide and flash flood. Also 38 roads and four bridges have been destroyed, said officials.",Fri Aug 17 16:00:12 +0000 2018
dvkkrishnan,"RT @dvkkrishnan: many roads and bridges are destroyed by flood, tens of thousands of people stranded in the first floor and terraces waitin…","many roads and bridges are destroyed by flood, tens of thousands of people stranded in the first floor and terraces waiting to get shifted to safe places n many others crying for their life This is not a state disaster,  declare this as national disaster @PMOIndia @narendramodi",Fri Aug 17 13:00:29 +0000 2018
dvkkrishnan,"many roads and bridges are destroyed by flood, tens of thousands of people stranded in the first floor and terraces waiting to get shifted to safe places n many others crying for their life This is not a state disaster,  declare this as national disaster @PMOIndia @narendramodi",,Fri Aug 17 12:55:04 +0000 2018
sudhakaranpTOI,"At Ayyankunnu panchayat in Kannur, over one hundred houses have been fully or partially destroyed and also over 150 hectares of land destroyed in landslide and flash flood. Also 38 roads and four bridges have been destroyed, said officials.",,Fri Aug 17 12:38:08 +0000 2018
westwynnresorts,"Kerala Needs Your Support.

2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 186 lives lost | 211+ landslides | 20000+ houses damaged | 10000 km of roads destroyed  | 

#StandwithKerala #SupportKerala https://t.co/oXf04QlYTx",,Fri Aug 17 12:09:22 +0000 2018
doolnews,പ്രളയം തകര്‍ത്തത് അരലക്ഷം കിലോമീറ്റര്‍ റോഡ്; 200 ലേറെ പാലങ്ങളും https://t.co/cTEBKWS15j,,Mon Aug 20 10:38:12 +0000 2018
doolnews,പ്രളയം തകര്‍ത്തത് അരലക്ഷം കിലോമീറ്റര്‍ റോഡ്; 200 ലേറെ പാലങ്ങളും https://t.co/FsGXcgQGeV,,Mon Aug 20 09:56:29 +0000 2018
Pankaj_Singh79,RT @WeUttarPradesh: Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cu…,"Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge links Parappanangadi to Malappuram
#KeralaFloods https://t.co/7M0BkDbnsN",Sun Aug 19 05:39:14 +0000 2018
Deveshlive,RT @WeUttarPradesh: Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cu…,"Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge links Parappanangadi to Malappuram
#KeralaFloods https://t.co/7M0BkDbnsN",Sun Aug 19 05:30:15 +0000 2018
Anuj__Agnihotri,RT @WeUttarPradesh: Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cu…,"Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge links Parappanangadi to Malappuram
#KeralaFloods https://t.co/7M0BkDbnsN",Sun Aug 19 05:06:33 +0000 2018
WeUttarPradesh,"Engineer Task Force under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge links Parappanangadi to Malappuram
#KeralaFloods https://t.co/7M0BkDbnsN",,Sun Aug 19 04:52:18 +0000 2018
akshayprakash38,RT @RaviRanjanIn: Engineer Task Force  under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut…,"Engineer Task Force  under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge cleared successfully. #KeralaFloods https://t.co/8lMsjtsjU8",Sun Aug 19 04:46:11 +0000 2018
RaviRanjanIn,"Engineer Task Force  under Major Shekhar mobilized for preventing collapse of Road Bridge over Kadalundi river at New Cut, Parappanangadi owing to massive clogged Flood debris &amp; flotsam which were threatening Bridge Piers.
Bridge cleared successfully. #KeralaFloods https://t.co/8lMsjtsjU8",,Sun Aug 19 04:40:51 +0000 2018
DefendHolland,@Ufukkaptan87 @abdbozkurt Then you are in the same position as I. And the only road in front us will be full of fire and misery. We will witness the collapse of Europe and the civil wars that are ready to begin. Good times are over. Prepare your children for the future. Keep thinking for yourself. RSPCT.,,Wed Aug 22 21:43:48 +0000 2018
RamiMadian,"RT @Malek17482416: Till I collapse, don't you remember, love the way you lie, long road to hell, once upon a dream, bad at love, roses,  bi…","Till I collapse, don't you remember, love the way you lie, long road to hell, once upon a dream, bad at love, roses,  bird set free, closer, dream it possible, IDGAF, lose your self, suicide squad song, dark paradise, set fire to rain, wake me up, someone like you https://t.co/840844fVHI",Tue Aug 21 23:42:37 +0000 2018
Malek17482416,"Till I collapse, don't you remember, love the way you lie, long road to hell, once upon a dream, bad at love, roses,  bird set free, closer, dream it possible, IDGAF, lose your self, suicide squad song, dark paradise, set fire to rain, wake me up, someone like you https://t.co/840844fVHI",,Tue Aug 21 23:40:32 +0000 2018
Andrewwhitton2,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

Thi…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

This is due to a significant fire overnight and building collapse.",Mon Aug 20 15:03:30 +0000 2018
bphiam,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Mon Aug 20 10:54:28 +0000 2018
pam_lees,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

Thi…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

This is due to a significant fire overnight and building collapse.",Mon Aug 20 09:09:07 +0000 2018
SuptGreenWMP,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

Thi…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

This is due to a significant fire overnight and building collapse.",Mon Aug 20 05:17:20 +0000 2018
georgereeves64,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

Thi…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

This is due to a significant fire overnight and building collapse.",Mon Aug 20 05:16:19 +0000 2018
WMidsAlerts,"Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed this morning, so please take alternative routes. 

This is due to a significant fire overnight and building collapse.",,Mon Aug 20 05:08:27 +0000 2018
marylockelabour,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 22:31:18 +0000 2018
northdudleynhw,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 22:10:10 +0000 2018
Barbaralipton92,"RT @metroforensics1: https://t.co/EM7uhoRmn5 
THE BOLOGNA  EXPLOSION:  the extremely high temperatures from the fire and the blast  caused…","https://t.co/EM7uhoRmn5 
THE BOLOGNA  EXPLOSION:  the extremely high temperatures from the fire and the blast  caused the road to collapse. 42-year-old Andrea Anzolin died, reportedly  the driver of the truck which exploded https://t.co/9nOXaLvSCk",Sun Aug 19 21:26:18 +0000 2018
elskidmore,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 21:15:59 +0000 2018
pam_lees,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:49:59 +0000 2018
BernardMcEldown,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:49:33 +0000 2018
CtrafficUK,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:24:58 +0000 2018
PaulSandars,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:24:47 +0000 2018
bhamresilience,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:20:39 +0000 2018
thumbfive,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:19:03 +0000 2018
inger_samantha,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:15:59 +0000 2018
Dollie1952,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:07:07 +0000 2018
LouiseTeboul,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:05:49 +0000 2018
JJ_brum,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 20:00:58 +0000 2018
headboiler,"RT @WMidsAlerts: Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomo…","Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 19:56:36 +0000 2018
OwlFiftyEight,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 19:53:54 +0000 2018
hollia11,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 19:53:16 +0000 2018
WMidsAlerts,"Priory Road &amp; Aston Hall Road, in #Nechells #Birmingham, are closed and will continue to be closed overnight and into tomorrow / Monday morning, so please take alternative routes. 

This is due to a significant fire and building collapse and the remaining building being unstable.",,Sun Aug 19 19:52:47 +0000 2018
Rijowhi,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 19:45:31 +0000 2018
brumpolice,"RT @BhamCityCouncil: ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and i…","ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",Sun Aug 19 19:44:07 +0000 2018
BhamCityCouncil,"ROAD CLOSURES: Priory Road &amp; Aston Hall Road, in Nechells, are closed now &amp; will continue to be closed overnight and into tomorrow/Monday morning, so please take alternative routes. This is due to a significant fire and building collapse and the remaining building being unstable.",,Sun Aug 19 19:33:29 +0000 2018
diazsamantha751,"RT @metroforensics1: https://t.co/EM7uhoRmn5 
THE BOLOGNA  EXPLOSION:  the extremely high temperatures from the fire and the blast  caused…","https://t.co/EM7uhoRmn5 
THE BOLOGNA  EXPLOSION:  the extremely high temperatures from the fire and the blast  caused the road to collapse. 42-year-old Andrea Anzolin died, reportedly  the driver of the truck which exploded https://t.co/9nOXaLvSCk",Fri Aug 17 13:37:31 +0000 2018
andrewalden,"Fire road collapse, Oakland Hills https://t.co/y1gpi7bzKH",,Fri Aug 17 03:43:42 +0000 2018
